,dts,pwm3901_vx,pwm3901_vy,openvr_vx,openvr_vy,openvr_vz,openvr_v_angx,openvr_v_angy,openvr_v_angz
57,11.439077854156494,-388.48411999999996,65.54827499999999,-0.05167917575501153,-0.04949527710169521,-1.0781048298012939,0.19496502447006608,0.748899175267922,-0.0652202337775895
58,11.639477729797363,-384.2945614705882,66.61950205882353,-0.01597487033203817,-0.023239281453619535,-1.2659593457067917,0.11818094906811835,0.5040572237368536,0.10135928190248857
59,11.840044498443604,-590.00141,41.49907499999999,0.026676407349291553,-0.13128557720111073,-1.2331262492492256,-0.09464874559566488,0.7016864126715769,-0.18041461542839515
60,12.040946006774902,-494.68931000000003,13.402415,0.10596207339759031,-0.11326567811364868,-0.9916785097768799,0.2877440421885198,0.544029847982187,-0.13025519181907175
61,12.241584777832031,-330.71015,-17.606865,0.09083190281437156,-0.07172676488945826,-0.5926388078651875,-0.09387643574900568,0.5307661721283679,0.05092273432562011
62,12.442162990570068,-106.91906111111109,0.2868705555555562,-0.3109707256391252,-0.08048977907980069,-0.15929350291221064,0.16203507768222464,0.3828905110752435,0.06378457034798247
63,12.642749547958374,4.370509999999997,227.6321,-0.5841314005646994,-0.1459608345273902,0.1462225772665587,0.016106023398361383,-0.053071249689222263,-0.13817913521366718
64,12.84347152709961,109.23557666666665,190.05349833333332,-0.5301905839068612,-0.14784895157114603,0.4092792018071877,-0.024815344789212344,0.0918913662258224,-0.05575166717556376
65,13.044169664382935,-9.031964374999992,-4.904834999999998,-0.4565438022379008,-0.0689980721370735,0.6509378034612185,0.0554629785605386,-0.16589057333223484,-0.05415067378806969
66,13.244704246520996,357.61428558823525,85.0539632352941,-0.18017064437502775,0.05983192452043613,0.9719397048668627,0.12311413197295597,-0.5937206265155418,0.012777622162595648
67,13.445245504379272,509.38669411764704,-18.369280882352943,0.17917704455593667,0.3584742973695605,0.9745951908335111,-0.12020137682996339,-0.3270943332654183,0.05135459031446455
68,13.645602703094482,185.75200777777775,-18.016115833333302,0.3112724439336202,0.5267796125051771,0.6761568309846426,-0.08648089652937764,-1.103168225875296,0.30194136914924896
69,13.8462233543396,-38.87762588235294,5.763574705882355,0.340982193441063,0.15813489250417803,0.36340461258966333,-0.3014006980294631,-0.41607680518076434,0.17777326260624873
70,14.046725511550903,-7.869889999999991,26.768114999999995,0.39874497058958547,-0.030323528264053417,0.29186363743072263,0.11245296413638355,0.31932030958656704,-0.08830677681559464
71,14.247254610061646,-116.04584999999996,62.51819833333332,0.3973843305171006,-0.07171584061500551,0.37209672556794104,0.35555109409322977,0.6137576461040182,0.10714452821119286
72,14.44783091545105,75.0723276470588,-154.8414658823529,0.1694110828633143,0.042268402510519235,0.5627115254291609,-0.4434146783270339,0.4900804121990631,0.19359722708776272
73,14.648503541946411,-4.966750294117643,-44.305986764705885,-0.01993407404988068,-0.06724687595223493,0.5180107476701036,-0.05602065641869809,-0.5286572315805799,0.07577731918793114
74,14.849069595336914,-87.64228441176468,41.36254088235294,-0.4333309585504058,-0.3029655949405073,0.18983191787808604,0.4691527908015588,-0.43131228233228114,0.013923295621177834
75,15.049857139587402,-28.9238,122.47242176470593,-0.6061757578645292,-0.27066024550558154,0.08699325523434362,0.3394897613378606,-0.41273301005429774,-0.1459532023717124
76,15.250642776489258,-45.5544017647059,135.53942999999998,-0.5302189996540555,-0.12051093051573947,0.14587841930117182,0.144561156478341,-0.7339895012605456,-0.41608692970538674
77,15.451334476470947,211.47693749999996,205.73022250000002,-0.27052838332778356,0.13893036764658595,0.6993084528640275,0.04326061531907792,-1.8209590821975403,-0.10079164320882436
78,15.651776313781738,368.081345,-4.5618399999999975,0.07627556974801253,0.21395792137982103,0.8524834886032908,0.07390506985435834,-1.2882684378520761,0.20977234737709535
