,dt,kalman_vx,kalman_vy,kalman_vz,openvr_vx,openvr_vy,openvr_vz,pwm3901_vx,pwm3901_vy
0,0.5734207630157471,0.002181992947375741,-0.01095521245254194,0.00998147831149919,-0.007025743422065972,-0.0025457881986192905,0.008574723121806105,0.0,0.0
1,1.1129236221313477,-5.6719694792491115e-05,-0.0019941452874576698,-0.004119347800044543,-0.005190853099011169,-0.0020563302753975167,-0.0013466483704163796,0.0,0.0
2,1.6412010192871094,-0.0018349898554235813,7.357911854896757e-05,-0.013240809262667113,0.005695789911392665,0.0036654483405280562,-9.532131886208756e-05,0.0,0.0
3,2.176530599594116,-0.0015013447152085763,-0.003385269837603252,0.01393859382612607,0.007429552698376559,0.005969516247863217,-0.0010117692093333497,0.0,0.0
4,2.7026712894439697,-9.544089981028663e-05,0.0053080711408038895,0.003535681011850802,0.007303422237346637,0.008560602751769428,-0.0005867227061333244,0.0,0.0
5,3.230128765106201,0.002212278215002827,-0.0015916675319825827,0.017960574248405484,0.008424660202693324,0.006528533700097406,0.0008332833357000214,0.0,0.0
6,3.7503645420074463,-0.0028125697265991316,0.0032690626731217438,0.006149841589887784,0.008483017887049799,0.005671584393098318,-0.0037714259452878056,0.0,0.0
7,4.278714895248413,0.002553265479123582,0.0012346028487569948,-3.674242152942181e-06,0.0006631803568679651,0.0006226592846162933,-8.144267570671588e-05,0.0,0.0
8,4.803042888641357,0.0028340686377932404,0.0017818654259687892,0.0051307443485563015,0.004156454518258257,0.0001959639778095698,-0.0011719579796974423,0.0,0.0
9,5.331536531448364,-0.00037527646898912435,0.0020456203968532826,0.0005503672239737627,0.0021742159091242574,0.0023860908843753585,-0.00046858919132915537,0.0,0.0
10,5.876040458679199,0.001745092348792254,-0.004229706335146185,0.020095849891957167,-0.002676245095094593,-0.008428835216504447,0.013543221328983529,0.0,0.0
11,6.400418758392334,0.0009973231511432102,-0.0021144937897445617,-0.00564856303779783,0.00337260358318874,0.0027041885061468876,-0.0015048140751447651,0.0,0.0
12,6.925182580947876,0.00624253028020332,-0.0011051781470126486,0.019138415426046353,0.005540946164911473,0.0034463298333809057,-0.003023664912647633,0.0,0.0
13,7.449035406112671,-0.003400308928867099,0.00011919228492480961,0.006931233566430199,0.00043455677240637113,-1.0709821307051254e-05,0.0017338534306728499,0.0,0.0
14,7.978128910064697,0.003076743783063649,-0.00253987909225059,0.003608363310291698,0.0005462418640937343,0.0004224501067761591,-0.00044637963975848344,0.0,0.0
15,8.518203020095825,-0.0029441803751828356,0.0009359498815179134,0.0007570088437229792,0.0208505722861239,-0.0018239673326972995,-0.06053501266178602,0.0,0.0
16,9.046284914016724,-0.0012778714063541967,-0.003469240308282469,0.0321073160250407,0.0032220022233663,-0.000921414457687468,-0.0004060528173033047,0.0,0.0
17,9.599485635757446,-0.0012589865870845894,-0.003458018437193228,0.032124986565123734,0.0021518790421483453,0.0023809231778662886,-0.0009181640668498531,0.0,0.0
18,10.154099702835083,-0.0014671060939027425,-0.0035817017741828217,0.031930321254893056,0.0002461774491179544,0.0011394150382371142,-0.0016434538191467554,0.0,0.0
19,10.684350490570068,-0.0012818755686553815,-0.003471621129532353,0.032103577275979275,0.0021655857157522936,0.0027255760455616013,-0.0039061806839288983,0.0,0.0
20,11.208760499954224,-0.0012627146165748691,-0.0034602339677547653,0.032121499539673457,-0.0032798637758383307,-0.0006967793522974861,0.001102453217157714,0.0,0.0
21,11.7700035572052,-0.0010513386046893565,-0.003334615322442773,0.03231921083333551,0.000500419712099713,-0.0014362841024421094,-0.00034803596493730943,0.0,0.0
22,12.343072891235352,-0.0016219135343858862,0.0007934367762608904,-0.006147002742806407,0.0020417991070067433,0.0019568216118578626,0.0005259871391229999,0.0,0.0
23,12.846857786178589,-0.0014925238201912508,0.0008653053125590331,-0.005921232186432803,0.00047548900572176426,0.00179529873643702,0.0006386181976375463,0.0,0.0
24,13.350493907928467,-0.0014589153388723727,0.0008839725795221549,-0.005862585908227077,0.0029577871379336176,0.0026940680156835877,0.0005881880209392205,0.0,0.0
25,13.862653017044067,-0.001453418427876111,0.0008870257464910721,-0.005852993883865263,-0.000677033070755859,0.0012469786301625586,-0.0019789116668664304,0.0,0.0
26,14.378739356994629,-0.0014709625745021812,0.0008772811446568804,-0.005883608147395988,-0.0011164665255454572,-0.0008742089034407647,0.0006217257427867367,0.0,0.0
27,14.909168004989624,-0.0014951874248018762,0.0008638258580764189,-0.005925880135134914,-0.0009804631613952377,0.0012842798335295474,-0.0002653483455492555,0.0,0.0
28,15.472343683242798,-0.001585481404682114,0.0008136735821800268,-0.006083441728423459,0.0025084895283388345,0.0016753532761525148,-0.0005423625043367958,0.0,0.0
29,15.99701976776123,-0.0015258228810067793,0.000846809908022628,-0.005979338530668794,0.0038725771494247177,-0.0012044559619478357,0.00018094740013468985,0.0,0.0
30,16.54132080078125,-0.0015790009175924635,0.000817273059984574,-0.006072133379046397,-0.005123456986142462,-0.003277527789166144,-6.25300296094583e-05,0.0,0.0
31,17.06552505493164,-0.0014845007204094783,0.0008697616086970205,-0.005907232001856226,0.0016168512046690038,0.0008883131049280074,-0.0001562604939928162,0.0,0.0
32,17.58594584465027,-0.0014929860301804892,0.0008650485857771479,-0.005922038735692087,0.0005852170469113967,-0.0009016439417424811,-0.0002173716070141756,0.0,0.0
33,18.118133783340454,0.0003755681247630295,2.0211246956640914e-05,-0.002466353828894253,0.0014714278195284594,-0.00016295965435099836,5.6737078135530424e-05,0.0,0.0
